district,date,month,year,visitors
Komaram Bheem Asifabad,01-05-2019,May,2019,0.0
Komaram Bheem Asifabad,01-06-2019,June,2019,0.0
Komaram Bheem Asifabad,01-07-2019,July,2019,0.0
Komaram Bheem Asifabad,01-08-2019,August,2019,0.0
Komaram Bheem Asifabad,01-09-2019,September,2019,0.0
Komaram Bheem Asifabad,01-10-2019,October,2019,0.0
Komaram Bheem Asifabad,01-11-2019,November,2019,0.0
Komaram Bheem Asifabad,01-12-2019,December,2019,0.0
Mahabubabad ,01-01-2019,January,2019,0.0
Mahabubabad ,01-02-2019,February,2019,0.0
Mahabubabad ,01-03-2019,March,2019,0.0
Mahabubabad ,01-04-2019,April,2019,0.0
Mahabubabad ,01-05-2019,May,2019,0.0
Mahabubabad ,01-06-2019,June,2019,0.0
Mahabubabad ,01-07-2019,July,2019,0.0
Mahabubabad ,01-08-2019,August,2019,0.0
Mahabubabad ,01-09-2019,September,2019,0.0
Mahabubabad ,01-10-2019,October,2019,0.0
Mahabubabad ,01-11-2019,November,2019,0.0
Mahabubabad ,01-12-2019,December,2019,0.0
Mahbubnagar,01-01-2019,January,2019,45.0
Mahbubnagar,01-02-2019,February,2019,29.0
Mahbubnagar,01-03-2019,March,2019,28.0
Mahbubnagar,01-04-2019,April,2019,34.0
Mahbubnagar,01-05-2019,May,2019,20.0
Mahbubnagar,01-06-2019,June,2019,28.0
Mahbubnagar,01-07-2019,July,2019,47.0
Mahbubnagar,01-08-2019,August,2019,44.0
Mahbubnagar,01-09-2019,September,2019,34.0
Mahbubnagar,01-10-2019,October,2019,37.0
Mahbubnagar,01-11-2019,November,2019,68.0
Mahbubnagar,01-12-2019,December,2019,26.0
Mancherial,01-01-2019,January,2019,0.0
Mancherial,01-02-2019,February,2019,0.0
Mancherial,01-03-2019,March,2019,0.0
Mancherial,01-04-2019,April,2019,0.0
Mancherial,01-05-2019,May,2019,0.0
Mancherial,01-06-2019,June,2019,0.0
Mancherial,01-07-2019,July,2019,0.0
Mancherial,01-08-2019,August,2019,0.0
Mancherial,01-09-2019,September,2019,0.0
Mancherial,01-10-2019,October,2019,0.0
Mancherial,01-11-2019,November,2019,10.0
Mancherial,01-12-2019,December,2019,0.0
Medak ,01-01-2019,January,2019,0.0
Medak ,01-02-2019,February,2019,0.0
Medak ,01-03-2019,March,2019,0.0
Medak ,01-04-2019,April,2019,0.0
Medak ,01-05-2019,May,2019,0.0
Medak ,01-06-2019,June,2019,0.0
Medak ,01-07-2019,July,2019,0.0
Medak ,01-08-2019,August,2019,0.0
Medak ,01-09-2019,September,2019,0.0
Medak ,01-10-2019,October,2019,0.0
Medak ,01-11-2019,November,2019,0.0
Medak ,01-12-2019,December,2019,0.0
Mulugu,01-01-2019,January,2019,0.0
Mulugu,01-02-2019,February,2019,45.0
Mulugu,01-03-2019,March,2019,40.0
Mulugu,01-04-2019,April,2019,40.0
Mulugu,01-05-2019,May,2019,40.0
Mulugu,01-06-2019,June,2019,50.0
Mulugu,01-07-2019,July,2019,55.0
Mulugu,01-08-2019,August,2019,50.0
Mulugu,01-09-2019,September,2019,60.0
Mulugu,01-10-2019,October,2019,60.0
Mulugu,01-11-2019,November,2019,70.0
Mulugu,01-12-2019,December,2019,65.0
Nagarkurnool ,01-01-2019,January,2019,35.0
Nagarkurnool ,01-02-2019,February,2019,15.0
Nagarkurnool ,01-03-2019,March,2019,14.0
Nagarkurnool ,01-04-2019,April,2019,18.0
Nagarkurnool ,01-05-2019,May,2019,14.0
Nagarkurnool ,01-06-2019,June,2019,14.0
Nagarkurnool ,01-07-2019,July,2019,17.0
Nagarkurnool ,01-08-2019,August,2019,22.0
Nagarkurnool ,01-09-2019,September,2019,7.0
Nagarkurnool ,01-10-2019,October,2019,3.0
Nagarkurnool ,01-11-2019,November,2019,30.0
Nagarkurnool ,01-12-2019,December,2019,10.0
Nalgonda,01-01-2019,January,2019,0.0
Nalgonda,01-02-2019,February,2019,0.0
Nalgonda,01-03-2019,March,2019,0.0
Nalgonda,01-04-2019,April,2019,0.0
Nalgonda,01-05-2019,May,2019,0.0
Nalgonda,01-06-2019,June,2019,0.0
Nalgonda,01-07-2019,July,2019,0.0
Nalgonda,01-08-2019,August,2019,0.0
Nalgonda,01-09-2019,September,2019,0.0
Nalgonda,01-10-2019,October,2019,0.0
Nalgonda,01-11-2019,November,2019,0.0
Nalgonda,01-12-2019,December,2019,0.0
Narayanpet,01-01-2019,January,2019,0.0
Narayanpet,01-02-2019,February,2019,0.0
Narayanpet,01-03-2019,March,2019,0.0
Narayanpet,01-04-2019,April,2019,0.0
Narayanpet,01-05-2019,May,2019,0.0
Narayanpet,01-06-2019,June,2019,0.0
Narayanpet,01-07-2019,July,2019,0.0
Narayanpet,01-08-2019,August,2019,0.0
Narayanpet,01-09-2019,September,2019,0.0
Narayanpet,01-10-2019,October,2019,0.0
Narayanpet,01-11-2019,November,2019,0.0
Narayanpet,01-12-2019,December,2019,5.0
Nirmal,01-01-2019,January,2019,0.0
Nirmal,01-02-2019,February,2019,0.0
Nirmal,01-03-2019,March,2019,0.0
Nirmal,01-04-2019,April,2019,0.0
Nirmal,01-05-2019,May,2019,0.0
Nirmal,01-06-2019,June,2019,0.0
Nirmal,01-07-2019,July,2019,0.0
Nirmal,01-08-2019,August,2019,0.0
Nirmal,01-09-2019,September,2019,0.0
Nirmal,01-10-2019,October,2019,0.0
Nirmal,01-11-2019,November,2019,0.0
Nirmal,01-12-2019,December,2019,0.0
Nizamabad,01-01-2019,January,2019,0.0
Nizamabad,01-02-2019,February,2019,1.0
Nizamabad,01-03-2019,March,2019,0.0
Nizamabad,01-04-2019,April,2019,0.0
Nizamabad,01-05-2019,May,2019,0.0
Nizamabad,01-06-2019,June,2019,0.0
Nizamabad,01-07-2019,July,2019,0.0
Nizamabad,01-08-2019,August,2019,0.0
Nizamabad,01-09-2019,September,2019,0.0
Nizamabad,01-10-2019,October,2019,0.0
Nizamabad,01-11-2019,November,2019,0.0
Nizamabad,01-12-2019,December,2019,0.0
Peddapalli,01-01-2019,January,2019,0.0
Peddapalli,01-02-2019,February,2019,0.0
Peddapalli,01-03-2019,March,2019,0.0
Peddapalli,01-04-2019,April,2019,0.0
Peddapalli,01-05-2019,May,2019,0.0
Peddapalli,01-06-2019,June,2019,0.0
Peddapalli,01-07-2019,July,2019,0.0
Peddapalli,01-08-2019,August,2019,0.0
Peddapalli,01-09-2019,September,2019,0.0
Peddapalli,01-10-2019,October,2019,0.0
Peddapalli,01-11-2019,November,2019,0.0
Peddapalli,01-12-2019,December,2019,0.0
Rajanna Sircilla ,01-01-2019,January,2019,0.0
Rajanna Sircilla ,01-02-2019,February,2019,0.0
Rajanna Sircilla ,01-03-2019,March,2019,0.0
Rajanna Sircilla ,01-04-2019,April,2019,0.0
Rajanna Sircilla ,01-05-2019,May,2019,0.0
Rajanna Sircilla ,01-06-2019,June,2019,0.0
Rajanna Sircilla ,01-07-2019,July,2019,0.0
Rajanna Sircilla ,01-08-2019,August,2019,0.0
Rajanna Sircilla ,01-09-2019,September,2019,0.0
Rajanna Sircilla ,01-10-2019,October,2019,0.0
Rajanna Sircilla ,01-11-2019,November,2019,0.0
Rajanna Sircilla ,01-12-2019,December,2019,0.0
Sangareddy ,01-01-2019,January,2019,0.0
Sangareddy ,01-02-2019,February,2019,0.0
Sangareddy ,01-03-2019,March,2019,0.0
Sangareddy ,01-04-2019,April,2019,0.0
Sangareddy ,01-05-2019,May,2019,0.0
Sangareddy ,01-06-2019,June,2019,0.0
Sangareddy ,01-07-2019,July,2019,0.0
Sangareddy ,01-08-2019,August,2019,0.0
Sangareddy ,01-09-2019,September,2019,0.0
Sangareddy ,01-10-2019,October,2019,0.0
Sangareddy ,01-11-2019,November,2019,0.0
Sangareddy ,01-12-2019,December,2019,0.0
Siddipet,01-01-2019,January,2019,0.0
Siddipet,01-02-2019,February,2019,0.0
Siddipet,01-03-2019,March,2019,0.0
Siddipet,01-04-2019,April,2019,0.0
Siddipet,01-05-2019,May,2019,0.0
Siddipet,01-06-2019,June,2019,0.0
Siddipet,01-07-2019,July,2019,0.0
Siddipet,01-08-2019,August,2019,0.0
Siddipet,01-09-2019,September,2019,0.0
Siddipet,01-10-2019,October,2019,0.0
Siddipet,01-11-2019,November,2019,0.0
Siddipet,01-12-2019,December,2019,0.0
Suryapet,01-01-2019,January,2019,0.0
Suryapet,01-02-2019,February,2019,0.0
Suryapet,01-03-2019,March,2019,0.0
Suryapet,01-04-2019,April,2019,0.0
Suryapet,01-05-2019,May,2019,0.0
Suryapet,01-06-2019,June,2019,0.0
Suryapet,01-07-2019,July,2019,0.0
Suryapet,01-08-2019,August,2019,0.0
Suryapet,01-09-2019,September,2019,0.0
Suryapet,01-10-2019,October,2019,0.0
Suryapet,01-11-2019,November,2019,0.0
Suryapet,01-12-2019,December,2019,0.0
Wanaparthy ,01-01-2019,January,2019,0.0
Wanaparthy ,01-02-2019,February,2019,0.0
Wanaparthy ,01-03-2019,March,2019,0.0
Wanaparthy ,01-04-2019,April,2019,0.0
Wanaparthy ,01-05-2019,May,2019,0.0
Wanaparthy ,01-06-2019,June,2019,0.0
Wanaparthy ,01-07-2019,July,2019,0.0
Wanaparthy ,01-08-2019,August,2019,0.0
Wanaparthy ,01-09-2019,September,2019,0.0
Wanaparthy ,01-10-2019,October,2019,0.0
Wanaparthy ,01-11-2019,November,2019,0.0
Wanaparthy ,01-12-2019,December,2019,0.0
Warangal (Rural),01-01-2019,January,2019,0.0
Warangal (Rural),01-02-2019,February,2019,0.0
Warangal (Rural),01-03-2019,March,2019,0.0
Warangal (Rural),01-04-2019,April,2019,0.0
Warangal (Rural),01-05-2019,May,2019,0.0
Warangal (Rural),01-06-2019,June,2019,0.0
Warangal (Rural),01-07-2019,July,2019,0.0
Warangal (Rural),01-08-2019,August,2019,0.0
Warangal (Rural),01-09-2019,September,2019,0.0
Warangal (Rural),01-10-2019,October,2019,0.0
Warangal (Rural),01-11-2019,November,2019,0.0
Warangal (Rural),01-12-2019,December,2019,0.0
Warangal (Urban),01-01-2019,January,2019,175.0
Warangal (Urban),01-02-2019,February,2019,200.0
Warangal (Urban),01-03-2019,March,2019,200.0
Warangal (Urban),01-04-2019,April,2019,190.0
Warangal (Urban),01-05-2019,May,2019,175.0
Warangal (Urban),01-06-2019,June,2019,195.0
Warangal (Urban),01-07-2019,July,2019,185.0
Warangal (Urban),01-08-2019,August,2019,230.0
Warangal (Urban),01-09-2019,September,2019,240.0
Warangal (Urban),01-10-2019,October,2019,220.0
Warangal (Urban),01-11-2019,November,2019,230.0
Warangal (Urban),01-12-2019,December,2019,210.0
Yadadri Bhongir,01-01-2019,January,2019,0.0
Yadadri Bhongir,01-02-2019,February,2019,0.0
Yadadri Bhongir,01-03-2019,March,2019,0.0
Yadadri Bhongir,01-04-2019,April,2019,0.0
Yadadri Bhongir,01-05-2019,May,2019,0.0
Yadadri Bhongir,01-06-2019,June,2019,0.0
Yadadri Bhongir,01-07-2019,July,2019,0.0
Yadadri Bhongir,01-08-2019,August,2019,0.0
Yadadri Bhongir,01-09-2019,September,2019,0.0
Yadadri Bhongir,01-10-2019,October,2019,0.0
Yadadri Bhongir,01-11-2019,November,2019,0.0
Yadadri Bhongir,01-12-2019,December,2019,0.0
